,name,company,year,Price,kms_driven,fuel_type,transmission
366,Tata Sumo Grande,Tata,2010,130000,90000,Diesel,Automatic
367,Volkswagen Polo Highline1.2L,Volkswagen,2013,380000,27000,Petrol,Automatic
368,Tata Tiago Revotron,Tata,2017,400000,31000,Petrol,Automatic
369,Maruti Suzuki Swift,Maruti,2009,120000,90000,Diesel,Automatic
370,Chevrolet Beat LS,Chevrolet,2014,189000,31000,Diesel,Automatic
371,Mahindra Xylo E8,Mahindra,2011,365000,43000,Diesel,Automatic
372,Tata Nano,Tata,2013,60000,7000,Petrol,Automatic
373,Hyundai i10 Magna,Hyundai,2009,400000,33000,Petrol,Automatic
374,Volkswagen Polo,Volkswagen,2013,299999,48000,Diesel,Automatic
375,Tata Bolt XM,Tata,2015,600000,15000,Petrol,Automatic
376,Maruti Suzuki Alto,Maruti,2005,100000,40000,Petrol,Automatic
377,Maruti Suzuki Ritz,Maruti,2010,150000,38000,Diesel,Automatic
378,Maruti Suzuki Dzire,Maruti,2009,210000,42000,Petrol,Automatic
379,Hyundai i20 Asta,Hyundai,2014,425000,31000,Petrol,Automatic
380,Tata Indica V2,Tata,2005,60000,80000,Diesel,Automatic
381,Toyota Innova 2.5,Toyota,2012,750000,75000,Diesel,Automatic
382,Hyundai i20 Magna,Hyundai,2011,230000,47000,Petrol,Automatic
383,Mahindra KUV100,Mahindra,2016,380000,26500,Petrol,Automatic
384,Datsun Go Plus,Datsun,2016,285000,13900,Petrol,Automatic
385,Tata Indica V2,Tata,2005,39999,80000,Diesel,Automatic
386,Maruti Suzuki Wagon,Maruti,2016,395000,20000,Petrol,Automatic
387,Maruti Suzuki Alto,Maruti,2019,400000,1500,Petrol,Automatic
388,Maruti Suzuki Alto,Maruti,2019,425000,1625,Petrol,Automatic
389,Volkswagen Polo Highline1.2L,Volkswagen,2017,525000,45000,Petrol,Automatic
390,Maruti Suzuki 800,Maruti,2000,30000,33400,Petrol,Automatic
391,Chevrolet Sail 1.2,Chevrolet,2013,300000,28000,Petrol,Automatic
392,Hyundai Santro AE,Hyundai,2003,60000,70000,Petrol,Automatic
393,Hyundai Eon,Hyundai,2018,260000,25000,Petrol,Automatic
394,Hyundai Getz Prime,Hyundai,2009,115000,20000,Petrol,Automatic
395,Hyundai Santro Xing,Hyundai,2004,45000,137495,Petrol,Automatic
396,Honda City 1.5,Honda,2009,270000,55000,Petrol,Automatic
397,Mahindra Quanto C4,Mahindra,2013,325000,63000,Diesel,Automatic
398,Maruti Suzuki Swift,Maruti,2016,350000,146000,Diesel,Automatic
399,Hyundai i20 Select,Hyundai,2011,290000,40000,Petrol,Automatic
400,Maruti Suzuki Dzire,Maruti,2016,325000,150000,Diesel,Automatic
401,Honda City VX,Honda,2016,860000,95000,Petrol,Automatic
402,Hyundai Getz,Hyundai,2006,125000,80000,Petrol,Automatic
403,Maruti Suzuki Alto,Maruti,2005,95000,65000,Petrol,Automatic
404,Skoda Fabia,Skoda,2009,110000,45000,Petrol,Automatic
405,Maruti Suzuki Ritz,Maruti,2011,270000,50000,Petrol,Automatic
406,Tata Indica V2,Tata,2009,110000,30000,Diesel,Automatic
407,Mahindra Quanto C8,Mahindra,2013,390000,40000,Diesel,Automatic
408,Renault Kwid CLIMBER,Renault,2021,485000,19604,Petrol,Automatic
409,Maruti Baleno,Maruti,2016,637000,19980,Petrol,Automatic
410,Tata Nexon,Tata,2021,1004000,48192,Diesel,Automatic
411,Jeep Compass,Jeep,2017,1099000,30044,Diesel,Automatic
412,Hyundai Tuscon,Hyundai ,2018,1864000,11865,Diesel,Automatic
413,Hyundai GRAND I10,Hyundai ,2020,687000,33479,Petrol,Automatic
414,Skoda Rapid,Skoda,2020,980000,27997,Petrol,Automatic
415,Renault Kiger RXZ,Renault,2021,820000,19077,Petrol,Automatic
416,Datsun Redi Go,Datsun,2019,397000,6380,Petrol,Automatic
417,Volkswagen Vento,Volkswagen,2021,1238000,25578,Petrol,Automatic
418,Nissan MAGNITE,Nissan,2022,1086000,2716,Petrol,Automatic
419,MG ASTOR SAVVY,MG,2022,1809000,3751,Petrol,Automatic
420,Hyundai ALCAZAR,Hyundai ,2022,2131000,9699,Petrol,Automatic
421,Maruti XL6,Maruti,2021,1072000,56623,Petrol,Automatic
422,Maruti IGNIS,Maruti,2021,797000,15124,Petrol,Automatic
423,Tata Safari,Tata,2022,2384000,6906,Diesel,Automatic
424,Land Rover Discovery,Land Rover,2019,4990000,32000,Diesel,Automatic
425,Mercedes-Benz C-Class Prime,Mercedes,2020,4175000,18000,Petrol,Automatic
426,Tata Nexon EV,Tata,2021,1525000,20000,Electric,Automatic
427,Tata Nexon EV,Tata,2022,1499000,7900,Electric,Automatic
428,Tata Tigor EV,Tata,2019,695000,18500,Electric,Automatic
429,MG ZS EV,MG,2021,2025000,16000,Electric,Automatic
430,Tata Tigor EV,Tata,2021,1085000,9000,Electric,Automatic
431,MG ZS EV,MG,2021,2250000,30045,Electric,Automatic
432,Honda City VX,Honda,2019,986000,26555,Petrol,Automatic
433,Volvo XC40,Volvo,2020,3975000,16500,Petrol,Automatic
434,Volkswagen Vento,Volkswagen,2021,1325000,18449,Petrol,Automatic
435,Skoda Kodiaq 2.0,Skoda,2020,3299000,47000,Diesel,Automatic
436,Mahindra XUV700,Mahindra,2022,2425000,15000,Petrol,Automatic
437,Audi Q2 Premium,Audi,2021,3899000,9700,Petrol,Automatic
438,Skoda Superb Laurin,Skoda,2022,3850000,8700,Petrol,Automatic
439,Toyota Glanza,Toyota,2020,880000,353888,Petrol,Automatic
440,Mahindra Thar,Mahindra,2022,1799000,9089,Petrol,Automatic
441,Ford Endeavour Titanium,Ford,2019,3275000,44125,Diesel,Automatic
442,Toyota Corolla Altis,Toyota,2019,1490000,16000,Petrol,Automatic
443,Toyota Innova Crysta,Toyota,2019,2195000,70000,Diesel,Automatic
444,Volkswagen Taigun,Volkswagen,2022,1699000,9000,Petrol,Automatic
445,Mahindra Thar,Mahindra,2021,1650000,2800,Petrol,Automatic
446,Renault KWID,Renault,2020,510000,5046,Petrol,Automatic
447,Hyundai Santro Sportz,Hyundai,2019,502000,21648,Petrol,Automatic
448,Maruti Ertiga ZXI,Maruti,2019,1095000,15000,Petrol,Automatic
449,Tata New Safari,Tata,2021,2250000,26000,Diesel,Automatic
450,Hyundai Creta,Hyundai,2019,1225000,60000,Petrol,Automatic
451,Honda Accord Hybrid,Honda,2019,3300000,1600,Petrol,Automatic
452,Kia Carnival Limousine,Kia,2020,3490000,30000,Diesel,Automatic
453,Toyota Urban cruiser,Toyota,2022,1096000,15000,Petrol,Automatic
454,Skoda Octavia Style,Skoda,2022,2995000,2984,Petrol,Automatic
455,Toyota Yaris,Toyota,2021,1116000,8047,Petrol,Automatic
456,MG Hector Sharp,MG,2019,1550000,35000,Petrol,Automatic
457,Maruti XL6,Maruti,2021,1288000,18280,Petrol,Automatic
458,Hyundai Creta,Hyundai,2021,1845000,8589,Petrol,Automatic
459,Volkswagen Tiguan 2.0,Volkswagen,2019,2575000,73081,Diesel,Automatic
460,Hyundai Santro Xing,Hyundai,2007,80000,45000,Petrol,Manual
461,Ford EcoSport Titanium,Ford,2014,575000,36000,Diesel,Manual
462,Ford Figo,Ford,2012,175000,41000,Diesel,Manual
463,Ford EcoSport Ambiente,Ford,2016,830000,24530,Diesel,Manual
464,Skoda Fabia Classic,Skoda,2010,182000,60000,Petrol,Manual
465,Hyundai Elite i20,Hyundai,2014,415000,32000,Petrol,Manual
466,Hyundai Santro Xing,Hyundai,2007,80000,45000,Petrol,Manual
467,Audi A8,Audi,2017,1000000,4000,Petrol,Manual
468,Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel,Manual
469,Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel,Manual
470,Maruti Suzuki Alto,Maruti,2015,75000,39000,Petrol,Manual
471,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol,Manual
472,Maruti Suzuki Alto,Maruti,2017,190000,72000,Petrol,Manual
473,Maruti Suzuki Alto,Maruti,2008,95000,70000,Petrol,Manual
474,Maruti Suzuki Swift,Maruti,2014,385000,35522,Diesel,Manual
475,Maruti Suzuki Swift,Maruti,2017,180000,15487,Petrol,Manual
476,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol,Manual
477,Renault Lodgy 85,Renault,2018,689999,20000,Diesel,Manual
478,Maruti Suzuki Baleno,Maruti,2017,549000,32000,Diesel,Manual
479,Renault Duster 85,Renault,2013,489999,27000,Diesel,Manual
480,Maruti Suzuki Alto,Maruti,2015,250000,60000,Petrol,Manual
481,Honda Amaze,Honda,2013,284999,46000,Diesel,Manual
482,Honda City,Honda,2015,499999,55000,Petrol,Manual
483,Maruti Suzuki SX4,Maruti,2010,249999,36000,Petrol,Manual
484,Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel,Manual
485,Mahindra Scorpio S10,Mahindra,2015,250000,48508,Diesel,Manual
486,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol,Manual
487,Mahindra Scorpio S10,Mahindra,2015,395000,35000,Diesel,Manual
488,Honda City ZX,Honda,2017,170000,15000,Diesel,Manual
489,Ford Figo,Ford,2012,175000,41000,Diesel,Manual
490,Tata Indigo eCS,Tata,2017,200000,130000,Diesel,Manual
491,Tata Indigo eCS,Tata,2017,200000,130000,Diesel,Manual
492,Volkswagen Polo Highline,Volkswagen,2014,315000,60000,Petrol,Manual
493,Maruti Suzuki Stingray,Maruti,2015,315000,30000,Petrol,Manual
494,Chevrolet Spark LS,Chevrolet,2010,110000,41000,Petrol,Manual
495,Honda City,Honda,2015,448999,54000,Petrol,Manual
496,Datsun Redi GO,Datsun,2017,235000,16000,Petrol,Manual
497,Honda Amaze,Honda,2015,344999,22000,Petrol,Manual
498,Renault Duster,Renault,2014,449999,50000,Diesel,Manual
499,Mahindra Scorpio S4,Mahindra,2015,865000,30000,Diesel,Manual
500,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel,Manual
501,Honda Brio,Honda,2012,224999,30000,Petrol,Manual
502,Volkswagen Vento Highline,Volkswagen,2019,1200000,3600,Diesel,Manual
503,Toyota Corolla Altis,Toyota,2010,351000,38000,Diesel,Manual
504,Toyota Corolla Altis,Toyota,2009,240000,35000,Petrol,Manual
505,Hyundai Elite i20,Hyundai,2014,415000,32000,Petrol,Manual
506,BMW 3 Series,BMW,2011,600000,60500,Petrol,Manual
507,Toyota Etios GD,Toyota,2013,350000,60000,Diesel,Manual
508,Maruti Suzuki Swift,Maruti,2014,390000,35000,Petrol,Manual
509,BMW 7 Series,BMW,2009,1600000,35000,Petrol,Manual
510,Hyundai i10 Magna,Hyundai,2014,265000,18000,Petrol,Manual
511,Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol,Manual
512,Ford EcoSport Titanium,Ford,2014,550000,44000,Diesel,Manual
513,Maruti Suzuki Ertiga,Maruti,2013,485000,42000,Diesel,Manual
514,Hyundai Grand i10,Hyundai,2014,345000,49000,Diesel,Manual
515,Hyundai i20 Asta,Hyundai,2012,329500,36200,Diesel,Manual
516,Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol,Manual
517,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol,Manual
518,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol,Manual
519,Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol,Manual
520,Toyota Etios Liva,Toyota,2014,270000,55000,Petrol,Manual
521,Chevrolet Spark,Chevrolet,2012,158400,33600,Petrol,Manual
522,Nissan Micra XV,Nissan,2011,179000,41000,Petrol,Manual
523,Maruti Suzuki Alto,Maruti,2018,200000,7500,Petrol,Manual
524,Maruti Suzuki Alto,Maruti,2015,220000,38000,Petrol,Manual
525,Ford EcoSport Trend,Ford,2016,830000,24330,Diesel,Manual
526,Maruti Suzuki Swift,Maruti,2013,340000,41000,Petrol,Manual
527,Toyota Corolla Altis,Toyota,2010,289999,70000,Petrol,Manual
528,Toyota Innova 2.5,Toyota,2012,849999,99000,Diesel,Manual
529,Volkswagen Polo Comfortline,Volkswagen,2015,399999,2800,Petrol,Manual
530,Mahindra Scorpio,Mahindra,2015,984999,22000,Diesel,Manual
531,Honda Amaze,Honda,2015,344999,22000,Petrol,Manual
532,Hyundai Elite i20,Hyundai,2018,599999,21000,Petrol,Manual
533,Renault Duster,Renault,2013,399999,41000,Diesel,Manual
534,Renault Duster,Renault,2014,474999,50000,Diesel,Manual
535,Maruti Suzuki Alto,Maruti,2018,310000,3000,Petrol,Manual
536,Datsun Redi GO,Datsun,2016,245000,7000,Petrol,Manual
537,Fiat Punto Emotion,Fiat,2012,169500,37200,Diesel,Manual
538,Toyota Etios GD,Toyota,2013,275000,24800,Petrol,Manual
539,Hyundai i10 Sportz,Hyundai,2010,168000,45872,Petrol,Manual
540,Chevrolet Beat LS,Chevrolet,2011,145000,45000,Diesel,Manual
541,Mahindra Scorpio VLX,Mahindra,2014,699000,50000,Diesel,Manual
542,Toyota Corolla Altis,Toyota,2015,575000,42000,Petrol,Manual
543,Maruti Suzuki Swift,Maruti,2011,209000,47000,Diesel,Manual
544,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,Manual
545,Honda Brio,Honda,2012,224999,30000,Petrol,Manual
546,Honda Amaze,Honda,2013,284999,46000,Diesel,Manual
547,Maruti Suzuki Wagon,Maruti,2012,199999,44000,Petrol,Manual
548,Hyundai i20,Hyundai,2009,199000,31000,Petrol,Manual
549,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel,Manual
550,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel,Manual
551,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel,Manual
552,Hyundai Santro Xing,Hyundai,2005,49000,7500,Petrol,Manual
553,Maruti Suzuki Zen,Maruti,2000,55000,60000,Petrol,Manual
554,Hyundai Creta 1.6,Hyundai,2017,895000,32000,Petrol,Manual
555,Mahindra Scorpio SLX,Mahindra,2007,355000,75000,Diesel,Manual
556,Toyota Innova 2.5,Toyota,2006,365000,73000,Diesel,Manual
557,Maruti Suzuki Wagon,Maruti,2011,210000,35000,Petrol,Manual
558,Maruti Suzuki Alto,Maruti,2013,125000,39000,Petrol,Manual
559,Maruti Suzuki Swift,Maruti,2006,135000,45000,Petrol,Manual
560,Maruti Suzuki Alto,Maruti,2010,135000,34580,Petrol,Manual
561,Renault Scala RxL,Renault,2015,375000,25000,Diesel,Manual
562,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol,Manual
563,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel,Manual
564,Renault Duster 110PS,Renault,2012,501000,35000,Diesel,Manual
565,Force Motors Force,Force,2015,580000,3200,Diesel,Manual
566,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel,Manual
567,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel,Manual
568,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel,Manual
569,Maruti Suzuki Wagon,Maruti,2006,80000,71200,Petrol,Manual
570,Mahindra Thar CRDe,Mahindra,2016,730000,29000,Diesel,Manual
571,Audi A4 1.8,Audi,2009,699000,47000,Petrol,Manual
572,Land Rover Freelander,Land,2015,2100000,30000,Diesel,Manual
573,Tata Aria Pleasure,Tata,2014,390000,35000,Diesel,Manual
574,Datsun GO T,Datsun,2016,245000,7000,Petrol,Manual
575,Tata Indigo eCS,Tata,2016,320000,175400,Diesel,Manual
576,Honda Amaze 1.2,Honda,2014,311000,33000,Petrol,Manual
577,Honda City,Honda,2012,399999,45000,Petrol,Manual
578,Honda Amaze,Honda,2015,344999,22000,Petrol,Manual
579,Force Motors Force,Force,2015,580000,3200,Diesel,Manual
580,Hyundai i20 Active,Hyundai,2015,535000,37000,Diesel,Manual
581,Maruti Suzuki Ciaz,Maruti,2017,699000,14000,Petrol,Manual
582,Honda Amaze,Honda,2013,284999,46000,Diesel,Manual
583,Tata Sumo Gold,Tata,2013,300000,50000,Diesel,Manual
584,Maruti Suzuki Esteem,Maruti,2006,95000,45000,Petrol,Manual
585,Chevrolet Enjoy 1.4,Chevrolet,2013,245000,55000,Diesel,Manual
586,Ford Figo Diesel,Ford,2014,195000,50000,Diesel,Manual
587,Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol,Manual
588,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol,Manual
589,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel,Manual
590,Maruti Suzuki Wagon,Maruti,2015,289999,22000,Petrol,Manual
591,Nissan Terrano XL,Nissan,2015,499999,60000,Diesel,Manual
592,Renault Duster 85,Renault,2014,489999,59000,Diesel,Manual
593,Maruti Suzuki Dzire,Maruti,2013,380000,30000,Petrol,Manual
594,Maruti Suzuki Maruti,Maruti,2003,57000,56758,Petrol,Manual
595,Renault Lodgy 85,Renault,2018,689999,20000,Diesel,Manual
596,Hyundai Grand i10,Hyundai,2014,410000,41000,Petrol,Manual
597,Chevrolet Beat LS,Chevrolet,2010,120000,43000,Petrol,Manual
598,Hyundai Santro Xing,Hyundai,2000,59000,56450,Petrol,Manual
599,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel,Manual
600,Chevrolet Beat LS,Chevrolet,2015,220000,32700,Petrol,Manual
601,Ford EcoSport Titanium,Ford,2016,599000,30000,Diesel,Manual
602,Mahindra TUV300 T4,Mahindra,2016,675000,9000,Diesel,Manual
603,Mini Cooper S,Mini,2013,1891111,13000,Petrol,Manual
604,Mini Cooper S,Mini,2013,1891111,13000,Petrol,Manual
605,Maruti Suzuki Swift,Maruti,2019,610000,73,Petrol,Manual
606,Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel,Manual
607,Ford EcoSport Titanium,Ford,2014,520000,57000,Diesel,Manual
608,Honda Amaze,Honda,2014,299999,37000,Petrol,Manual
609,Honda City,Honda,2011,284999,55000,Petrol,Manual
610,Maruti Suzuki Dzire,Maruti,2014,424999,55000,Diesel,Manual
611,Honda Mobilio,Honda,2014,399999,44000,Petrol,Manual
612,Honda City,Honda,2014,584999,39000,Petrol,Manual
613,Renault Duster,Renault,2015,449999,49000,Diesel,Manual
614,Maruti Suzuki Dzire,Maruti,2015,444999,45000,Diesel,Manual
615,Hyundai Verna Fluidic,Hyundai,2012,444999,40000,Diesel,Manual
616,Maruti Suzuki Wagon,Maruti,2016,344999,15000,Petrol,Manual
617,Honda Amaze,Honda,2014,274999,35000,Petrol,Manual
618,Mahindra Scorpio,Mahindra,2013,574999,68000,Diesel,Manual
619,Volkswagen Polo,Volkswagen,2010,199999,60000,Diesel,Manual
620,Tata Manza Aura,Tata,2012,130000,72000,Diesel,Manual
621,Renault Duster 110,Renault,2012,501000,38000,Diesel,Manual
622,Audi A4 2.0,Audi,2012,1350000,40000,Diesel,Manual
623,Mahindra Scorpio VLX,Mahindra,2013,610000,35000,Diesel,Manual
624,Renault Scala RxL,Renault,2015,375000,25000,Diesel,Manual
625,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol,Manual
626,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel,Manual
627,Hyundai i20,Hyundai,2014,449999,23000,Petrol,Manual
628,Hyundai i10,Hyundai,2012,244999,38000,Petrol,Manual
629,Datsun Redi GO,Datsun,2017,244999,22000,Petrol,Manual
630,Hyundai Accent,Hyundai,2010,99999,45000,Petrol,Manual
631,Maruti Suzuki Swift,Maruti,2013,324999,45000,Diesel,Manual
632,Hyundai i10 Sportz,Hyundai,2012,230000,34000,Petrol,Manual
633,Honda City 1.5,Honda,2010,240000,400000,Petrol,Manual
634,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel,Manual
635,Mahindra XUV500,Mahindra,2016,1130000,72000,Diesel,Manual
636,Force Motors Force,Force,2015,580000,3200,Diesel,Manual
637,Tata Vista Quadrajet,Tata,2011,120000,90000,Diesel,Manual
638,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel,Manual
639,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel,Manual
640,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol,Manual
641,Honda City ZX,Honda,2008,149000,42000,Petrol,Manual
642,Mahindra Jeep MM,Mahindra,2006,425000,122,Diesel,Manual
643,Honda City 1.5,Honda,2010,225000,70000,Petrol,Manual
644,Hyundai Verna 1.4,Hyundai,2014,375000,36000,Petrol,Manual
645,Toyota Etios,Toyota,2011,275000,36000,Diesel,Manual
646,Maruti Suzuki Swift,Maruti,2014,335000,55000,Diesel,Manual
647,Maruti Suzuki Swift,Maruti,2012,225000,40000,Petrol,Manual
648,Maruti Suzuki Versa,Maruti,2004,80000,50000,Petrol,Manual
649,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel,Manual
650,Maruti Suzuki Ertiga,Maruti,2013,450000,90000,Diesel,Manual
651,Honda City,Honda,2000,65000,80000,Petrol,Manual
652,Maruti Suzuki Omni,Maruti,2001,70000,70000,Petrol,Manual
653,Hyundai Elite i20,Hyundai,2018,600000,7800,Petrol,Manual
654,Maruti Suzuki Alto,Maruti,2017,240000,60000,Petrol,Manual
655,Honda Jazz S,Honda,2009,169999,24695,Petrol,Manual
656,Maruti Suzuki Zen,Maruti,2001,40000,40000,Petrol,Manual
657,Hyundai Grand i10,Hyundai,2016,280000,59910,Diesel,Manual
658,Hyundai Creta 1.6,Hyundai,2016,950000,25000,Petrol,Manual
659,Renault Duster 85,Renault,2015,715000,65000,Diesel,Manual
660,Honda Brio V,Honda,2012,235000,33000,Petrol,Manual
661,Chevrolet Spark LS,Chevrolet,2010,95000,23000,Petrol,Manual
662,Maruti Suzuki Swift,Maruti,2015,220000,129000,Diesel,Manual
663,Maruti Suzuki Alto,Maruti,2015,230000,5000,Petrol,Manual
664,Toyota Fortuner 3.0,Toyota,2010,940000,131000,Diesel,Manual
665,Mercedes Benz A,Mercedes,2013,1500000,14000,Petrol,Manual
666,Ford EcoSport Trend,Ford,2013,495000,38000,Diesel,Manual
667,Hyundai i20 Magna,Hyundai,2010,195000,36000,Petrol,Manual
668,Renault Kwid RXT,Renault,2015,270000,43000,Petrol,Manual
669,Ford EcoSport Titanium,Ford,2014,500000,40000,Diesel,Manual
670,Hyundai Verna 1.6,Hyundai,2017,800000,12000,Petrol,Manual
671,Skoda Superb 1.8,Skoda,2011,530000,68000,Petrol,Manual
672,Mahindra Bolero DI,Mahindra,2012,220000,59466,Diesel,Manual
673,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,Manual
674,Maruti Suzuki Wagon,Maruti,2018,395000,25500,Petrol,Manual
675,Tata Nano GenX,Tata,2010,32000,44005,Petrol,Manual
676,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel,Manual
677,Hyundai Elite i20,Hyundai,2015,400000,30000,Petrol,Manual
678,Maruti Suzuki Baleno,Maruti,2016,500000,28000,Petrol,Manual
679,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,Manual
680,Hyundai Elite i20,Hyundai,2015,419000,20000,Petrol,Manual
681,Hyundai Eon Era,Hyundai,2018,140000,2110,Petrol,Manual
682,Hyundai i10 Magna,Hyundai,2008,275000,100200,Petrol,Manual
683,Maruti Suzuki Swift,Maruti,2011,230000,65,Petrol,Manual
684,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,Manual
685,Hyundai Xcent Base,Hyundai,2016,300000,140000,Diesel,Manual
686,Hyundai Accent Executive,Hyundai,2009,165000,48000,Petrol,Manual
687,Tata Zest XE,Tata,2018,480000,103553,Diesel,Manual
688,Tata Sumo Gold,Tata,2014,250000,99000,Diesel,Manual
689,Maruti Suzuki Eeco,Maruti,2013,290000,70000,LPG,Manual
690,Mahindra XUV500 W6,Mahindra,2013,548900,49800,Diesel,Manual
691,Maruti Suzuki 800,Maruti,2001,55000,81876,Petrol,Manual
692,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol,Manual
693,Maruti Suzuki Ertiga,Maruti,2016,730000,55000,Diesel,Manual
694,Hyundai Verna 1.6,Hyundai,2016,195000,56000,Diesel,Manual
695,Toyota Fortuner 3.0,Toyota,2015,1525000,120000,Diesel,Manual
696,Honda Amaze,Honda,2013,250000,55700,Diesel,Manual
697,Hyundai Santro Xing,Hyundai,2003,120000,50000,Petrol,Manual
698,Maruti Suzuki Wagon,Maruti,2014,250000,18500,Petrol,Manual
699,Honda Brio VX,Honda,2017,450000,11000,Petrol,Manual
700,Maruti Suzuki Zen,Maruti,2003,99999,53000,Petrol,Manual
701,Maruti Suzuki Wagon,Maruti,2016,225000,35500,Diesel,Manual
702,Renault Kwid RXT,Renault,2019,370000,1000,Petrol,Manual
703,Jaguar XE XE,Jaguar,2016,2800000,8500,Petrol,Manual
704,Hyundai Eon Magna,Hyundai,2014,190000,35000,Petrol,Manual
705,Hindustan Motors Ambassador,Hindustan,2002,90000,25000,Diesel,Manual
706,Hyundai Grand i10,Hyundai,2017,400000,20000,Petrol,Manual
707,Maruti Suzuki Swift,Maruti,2015,250000,55000,Petrol,Manual
708,Honda Amaze 1.2,Honda,2014,381000,6000,Petrol,Manual
709,Maruti Suzuki Vitara,Maruti,2016,580000,25000,Diesel,Manual
710,Mahindra Scorpio Vlx,Mahindra,2013,690000,75000,Diesel,Manual
711,Mitsubishi Lancer 1.8,Mitsubishi,2006,85000,50000,Petrol,Manual
712,Maruti Suzuki Alto,Maruti,2015,90000,55800,Petrol,Manual
713,Hyundai Eon D,Hyundai,2018,260000,25000,Petrol,Manual
714,Maruti Suzuki Ritz,Maruti,2010,180000,72160,Diesel,Manual
715,Maruti Suzuki Wagon,Maruti,2006,90001,48000,Petrol,Manual
716,Audi A6 2.0,Audi,2012,1599000,11500,Diesel,Manual
717,Maruti Suzuki Wagon,Maruti,2009,159000,27000,Petrol,Manual
718,Maruti Suzuki Alto,Maruti,2010,110000,55000,Petrol,Manual
719,Hyundai Verna 1.6,Hyundai,2019,900000,2000,Petrol,Manual
720,Hyundai Getz Prime,Hyundai,2009,110000,20000,Petrol,Manual
721,Hyundai Getz Prime,Hyundai,2009,115000,20000,Petrol,Manual
722,Ford EcoSport Trend,Ford,2017,580000,10000,Petrol,Manual
723,Hyundai Fluidic Verna,Hyundai,2013,350000,117000,Diesel,Manual
724,BMW X1 xDrive20d,BMW,2011,1150000,72000,Diesel,Manual
725,Honda City 1.5,Honda,2009,269000,55000,Petrol,Manual
726,Chevrolet Cruze LTZ,Chevrolet,2014,400000,41000,Diesel,Manual
727,Mahindra XUV500 W6,Mahindra,2014,8500003,45000,Diesel,Manual
728,Maruti Suzuki Alto,Maruti,2014,199000,37000,Petrol,Manual
729,Force Motors One,Force,2013,550000,140000,Diesel,Manual
730,Maruti Suzuki Alto,Maruti,2019,265000,9800,Petrol,Manual
731,Hyundai i10,Hyundai,2009,215000,27000,Petrol,Manual
732,Renault Duster 85PS,Renault,2013,401919,57923,Diesel,Manual
733,Maruti Suzuki Alto,Maruti,2017,280000,6200,Petrol,Manual
734,Toyota Etios Liva,Toyota,2014,160000,24652,Petrol,Manual
735,Chevrolet Beat LS,Chevrolet,2016,225000,95000,Diesel,Manual
736,Jeep Wrangler Unlimited,Jeep,2015,950000,3528,Diesel,Manual
737,Hyundai Verna VGT,Hyundai,2010,205000,47900,Diesel,Manual
738,Maruti Suzuki Celerio,Maruti,2018,310000,37000,Petrol,Manual
739,Mahindra XUV500 W6,Mahindra,2013,549900,52800,Diesel,Manual
740,Hyundai i10 Era,Hyundai,2011,175000,30000,Petrol,Manual
741,Tata Indigo LX,Tata,2016,230000,104000,Diesel,Manual
742,Tata Indigo Marina,Tata,2004,180000,70000,Diesel,Manual
743,Hyundai Xcent SX,Hyundai,2015,400000,43000,Diesel,Manual
